Player,Tm,PTS,Points_Running_Avg,player_points_line,Date
Trae Young,ATL,30,28.2,30.5,12/20/23
Trae Young,ATL,30,28.269,27.5,12/22/23
Trae Young,ATL,30,28.333,30.5,12/23/23
Trae Young,ATL,21,28.071,28.5,12/26/23
Trae Young,ATL,24,27.931,28.5,12/29/23
Trae Young,ATL,40,28.333,28.5,12/31/23
Trae Young,ATL,24,28.194,27.5,1/3/24
Trae Young,ATL,13,27.719,28.5,1/5/24
Trae Young,ATL,31,27.818,25.5,1/7/24
Trae Young,ATL,28,27.824,27.5,1/10/24
Trae Young,ATL,13,27.4,28.5,1/12/24
Trae Young,ATL,21,27.222,29.5,1/13/24
Trae Young,ATL,36,27.459,29.5,1/15/24
Trae Young,ATL,18,27.211,27.5,1/17/24
Trae Young,ATL,30,26.975,25.5,1/26/24
Trae Young,ATL,30,27.049,25.5,1/28/24
Dejounte Murray,ATL,21,20,18.5,12/20/23
Dejounte Murray,ATL,24,20.143,18.5,12/22/23
Dejounte Murray,ATL,26,20.345,19.5,12/23/23
Dejounte Murray,ATL,18,20.161,20.5,12/29/23
Dejounte Murray,ATL,32,20.531,21.5,12/31/23
Dejounte Murray,ATL,22,20.576,19.5,1/3/24
Dejounte Murray,ATL,30,20.853,21.5,1/5/24
Dejounte Murray,ATL,24,20.943,20.5,1/7/24
Dejounte Murray,ATL,25,21.056,22.5,1/10/24
Dejounte Murray,ATL,29,21.27,23.5,1/12/24
Dejounte Murray,ATL,13,21.053,23.5,1/13/24
Dejounte Murray,ATL,13,20.846,23.5,1/15/24
Dejounte Murray,ATL,26,20.975,20.5,1/17/24
Dejounte Murray,ATL,35,21.395,24.5,1/22/24
Dejounte Murray,ATL,23,21.432,26.5,1/24/24
Dejounte Murray,ATL,24,21.5,21.5,1/30/24
Jalen Johnson,ATL,16,14.143,11.5,12/29/23
Jalen Johnson,ATL,24,14.8,16.5,12/31/23
Jalen Johnson,ATL,28,15.625,15.5,1/3/24
Jalen Johnson,ATL,12,15.412,17.5,1/5/24
Jalen Johnson,ATL,12,15.222,16.5,1/7/24
Jalen Johnson,ATL,25,15.737,15.5,1/10/24
Jalen Johnson,ATL,16,15.75,16.5,1/12/24
Jalen Johnson,ATL,5,15.238,16.5,1/13/24
Jalen Johnson,ATL,16,15.273,14.5,1/15/24
Jalen Johnson,ATL,10,15.043,14.5,1/17/24
Jalen Johnson,ATL,11,15.077,17.5,1/22/24
Jalen Johnson,ATL,21,15.296,17.5,1/24/24
Jalen Johnson,ATL,17,15.69,16.5,1/28/24
Saddiq Bey,ATL,9,13,14.5,12/20/23
Saddiq Bey,ATL,16,13.188,12.5,12/22/23
Saddiq Bey,ATL,14,13.235,13.5,12/23/23
Saddiq Bey,ATL,15,13.316,13.5,12/29/23
Saddiq Bey,ATL,11,13.2,15.5,12/31/23
Saddiq Bey,ATL,10,13.048,13.5,1/3/24
Saddiq Bey,ATL,9,12.864,13.5,1/5/24
Saddiq Bey,ATL,16,13,12.5,1/7/24
Saddiq Bey,ATL,15,13.083,13.5,1/10/24
Saddiq Bey,ATL,17,13.24,13.5,1/12/24
Saddiq Bey,ATL,16,13.346,13.5,1/13/24
Saddiq Bey,ATL,10,13.222,15.5,1/15/24
Saddiq Bey,ATL,7,13,12.5,1/17/24
Saddiq Bey,ATL,13,12.613,14.5,1/22/24
Saddiq Bey,ATL,18,12.781,13.5,1/24/24
Saddiq Bey,ATL,26,13.265,13.5,1/28/24
De'Andre Hunter,ATL,11,14.917,14.5,12/20/23
Clint Capela,ATL,15,11.808,13.5,12/20/23
Clint Capela,ATL,8,11.667,12.5,12/22/23
Clint Capela,ATL,20,11.964,10.5,12/23/23
Clint Capela,ATL,13,12,13.5,12/26/23
Clint Capela,ATL,12,12,12.5,12/29/23
Clint Capela,ATL,11,11.968,14.5,12/31/23
Clint Capela,ATL,12,11.969,12.5,1/3/24
Clint Capela,ATL,9,11.879,12.5,1/5/24
Clint Capela,ATL,4,11.647,11.5,1/7/24
Clint Capela,ATL,7,11.514,12.5,1/12/24
Clint Capela,ATL,4,11.306,12.5,1/13/24
Clint Capela,ATL,13,11.351,11.5,1/15/24
Clint Capela,ATL,12,11.368,10.5,1/17/24
Clint Capela,ATL,11,11.171,11.5,1/22/24
Clint Capela,ATL,11,11.167,11.5,1/24/24
Clint Capela,ATL,10,11.14,11.5,1/26/24
Clint Capela,ATL,19,11.318,11.5,1/28/24
Clint Capela,ATL,13,11.356,11.5,1/30/24
Jayson Tatum,BOS,15,26.808,28.5,12/19/23
Jayson Tatum,BOS,30,26.926,29.5,12/23/23
Jayson Tatum,BOS,25,26.857,28.5,12/25/23
Jayson Tatum,BOS,31,27,27.5,12/28/23
Jayson Tatum,BOS,25,26.933,26.5,12/31/23
Jayson Tatum,BOS,30,27.032,26.5,1/2/24
Jayson Tatum,BOS,30,27.125,26.5,1/5/24
Jayson Tatum,BOS,38,27.455,27.5,1/6/24
Jayson Tatum,BOS,45,27.971,25.5,1/10/24
Jayson Tatum,BOS,27,27.361,26.5,1/13/24
Jayson Tatum,BOS,19,27.135,28.5,1/15/24
Jayson Tatum,BOS,24,27.053,27.5,1/17/24
Jayson Tatum,BOS,22,26.923,27.5,1/19/24
Jayson Tatum,BOS,26,26.976,26.5,1/25/24
Jayson Tatum,BOS,21,26.837,29.5,1/27/24
Jayson Tatum,BOS,28,26.864,28.5,1/29/24
Jayson Tatum,BOS,30,26.933,29.5,1/30/24
Jrue Holiday,BOS,13,12.292,12.5,12/19/23
Jrue Holiday,BOS,18,13.111,12.5,12/25/23
Jrue Holiday,BOS,7,12.933,12.5,1/2/24
Jrue Holiday,BOS,14,12.968,12.5,1/5/24
Jrue Holiday,BOS,8,12.812,13.5,1/6/24
Jrue Holiday,BOS,11,12.778,12.5,1/13/24
Jrue Holiday,BOS,7,13.103,13.5,1/19/24
Jrue Holiday,BOS,17,13.293,11.5,1/25/24
Jrue Holiday,BOS,7,13.143,13.5,1/27/24
Jrue Holiday,BOS,17,13.386,13.5,1/30/24
Jaylen Brown,BOS,28,22.52,23.5,12/19/23
Jaylen Brown,BOS,24,22.778,26.5,12/23/23
Jaylen Brown,BOS,19,22.643,23.5,12/25/23
Jaylen Brown,BOS,24,22.967,23.5,12/31/23
Jaylen Brown,BOS,15,22.71,22.5,1/2/24
Jaylen Brown,BOS,13,22.406,23.5,1/5/24
Jaylen Brown,BOS,31,22.667,21.5,1/6/24
Jaylen Brown,BOS,35,23.514,23.5,1/10/24
Jaylen Brown,BOS,32,23.378,23.5,1/13/24
Jaylen Brown,BOS,21,23.316,26.5,1/17/24
Jaylen Brown,BOS,13,23.051,24.5,1/19/24
Jaylen Brown,BOS,18,22.952,22.5,1/25/24
Jaylen Brown,BOS,8,22.605,23.5,1/27/24
Jaylen Brown,BOS,22,22.591,23.5,1/29/24
Jaylen Brown,BOS,25,22.644,22.5,1/30/24
Derrick White,BOS,30,15.957,15.5,12/19/23
Derrick White,BOS,18,16.577,16.5,12/25/23
Derrick White,BOS,19,17.033,16.5,1/2/24
Derrick White,BOS,10,16.806,16.5,1/5/24
Derrick White,BOS,7,16.5,16.5,1/6/24
Derrick White,BOS,13,15.694,12.5,1/13/24
Derrick White,BOS,24,16.079,12.5,1/19/24
Derrick White,BOS,15,15.927,14.5,1/25/24
Derrick White,BOS,2,15.595,15.5,1/27/24
Derrick White,BOS,24,15.818,15.5,1/30/24
Al Horford,BOS,0,8.667,9.5,1/27/24
Mikal Bridges,BRK,15,21.667,21.5,12/20/23
Mikal Bridges,BRK,14,21.393,19.5,12/22/23
Mikal Bridges,BRK,29,21.655,21.5,12/23/23
Mikal Bridges,BRK,21,21.633,22.5,12/26/23
Mikal Bridges,BRK,6,21.129,22.5,12/27/23
Mikal Bridges,BRK,19,21.062,22.5,12/29/23
Mikal Bridges,BRK,22,21.091,22.5,12/31/23
Mikal Bridges,BRK,13,20.853,22.5,1/2/24
Mikal Bridges,BRK,17,20.583,20.5,1/5/24
Mikal Bridges,BRK,42,21.162,20.5,1/7/24
Mikal Bridges,BRK,26,21.289,22.5,1/11/24
Mikal Bridges,BRK,26,21.41,22.5,1/15/24
Mikal Bridges,BRK,21,21.4,24.5,1/17/24
Mikal Bridges,BRK,17,21.293,24.5,1/19/24
Mikal Bridges,BRK,26,21.405,22.5,1/21/24
Mikal Bridges,BRK,36,21.744,21.5,1/23/24
Mikal Bridges,BRK,21,21.727,22.5,1/25/24
Mikal Bridges,BRK,19,21.667,23.5,1/27/24
Mikal Bridges,BRK,33,21.913,22.5,1/29/24
Spencer Dinwiddie,BRK,10,14.769,16.5,12/20/23
Spencer Dinwiddie,BRK,6,14.444,14.5,12/22/23
Spencer Dinwiddie,BRK,14,14.429,14.5,12/23/23
Spencer Dinwiddie,BRK,9,14.241,14.5,12/26/23
Spencer Dinwiddie,BRK,17,14.333,14.5,12/29/23
Spencer Dinwiddie,BRK,13,14.29,14.5,12/31/23
