Player,Tm,PTS,Points_Running_Avg,player_points_line
Trae Young,ATL,30.0,28.2,30.5
Trae Young,ATL,30.0,28.269,27.5
Trae Young,ATL,30.0,28.333,30.5
Trae Young,ATL,21.0,28.071,28.5
Trae Young,ATL,24.0,27.931,28.5
Trae Young,ATL,40.0,28.333,28.5
Trae Young,ATL,24.0,28.194,27.5
Trae Young,ATL,13.0,27.719,28.5
Trae Young,ATL,31.0,27.818,25.5
Trae Young,ATL,28.0,27.824,27.5
Trae Young,ATL,13.0,27.4,28.5
Trae Young,ATL,21.0,27.222,29.5
Trae Young,ATL,36.0,27.459,29.5
Trae Young,ATL,18.0,27.211,27.5
Trae Young,ATL,30.0,26.975,25.5
Trae Young,ATL,30.0,27.049,25.5
Dejounte Murray,ATL,21.0,20.0,18.5
Dejounte Murray,ATL,24.0,20.143,18.5
Dejounte Murray,ATL,26.0,20.345,19.5
Dejounte Murray,ATL,18.0,20.161,20.5
Dejounte Murray,ATL,32.0,20.531,21.5
Dejounte Murray,ATL,22.0,20.576,19.5
Dejounte Murray,ATL,30.0,20.853,21.5
Dejounte Murray,ATL,24.0,20.943,20.5
Dejounte Murray,ATL,25.0,21.056,22.5
Dejounte Murray,ATL,29.0,21.27,23.5
Dejounte Murray,ATL,13.0,21.053,23.5
Dejounte Murray,ATL,13.0,20.846,23.5
Dejounte Murray,ATL,26.0,20.975,20.5
Dejounte Murray,ATL,35.0,21.395,24.5
Dejounte Murray,ATL,23.0,21.432,26.5
Dejounte Murray,ATL,24.0,21.5,21.5
Jalen Johnson,ATL,16.0,14.143,11.5
Jalen Johnson,ATL,24.0,14.8,16.5
Jalen Johnson,ATL,28.0,15.625,15.5
Jalen Johnson,ATL,12.0,15.412,17.5
Jalen Johnson,ATL,12.0,15.222,16.5
Jalen Johnson,ATL,25.0,15.737,15.5
Jalen Johnson,ATL,16.0,15.75,16.5
Jalen Johnson,ATL,5.0,15.238,16.5
Jalen Johnson,ATL,16.0,15.273,14.5
Jalen Johnson,ATL,10.0,15.043,14.5
Jalen Johnson,ATL,11.0,15.077,17.5
Jalen Johnson,ATL,21.0,15.296,17.5
Jalen Johnson,ATL,17.0,15.69,16.5
Saddiq Bey,ATL,9.0,13.0,14.5
Saddiq Bey,ATL,16.0,13.188,12.5
Saddiq Bey,ATL,14.0,13.235,13.5
Saddiq Bey,ATL,15.0,13.316,13.5
Saddiq Bey,ATL,11.0,13.2,15.5
Saddiq Bey,ATL,10.0,13.048,13.5
Saddiq Bey,ATL,9.0,12.864,13.5
Saddiq Bey,ATL,16.0,13.0,12.5
Saddiq Bey,ATL,15.0,13.083,13.5
Saddiq Bey,ATL,17.0,13.24,13.5
Saddiq Bey,ATL,16.0,13.346,13.5
Saddiq Bey,ATL,10.0,13.222,15.5
Saddiq Bey,ATL,7.0,13.0,12.5
Saddiq Bey,ATL,13.0,12.613,14.5
Saddiq Bey,ATL,18.0,12.781,13.5
Saddiq Bey,ATL,26.0,13.265,13.5
De'Andre Hunter,ATL,11.0,14.917,14.5
Clint Capela,ATL,15.0,11.808,13.5
Clint Capela,ATL,8.0,11.667,12.5
Clint Capela,ATL,20.0,11.964,10.5
Clint Capela,ATL,13.0,12.0,13.5
Clint Capela,ATL,12.0,12.0,12.5
Clint Capela,ATL,11.0,11.968,14.5
Clint Capela,ATL,12.0,11.969,12.5
Clint Capela,ATL,9.0,11.879,12.5
Clint Capela,ATL,4.0,11.647,11.5
Clint Capela,ATL,7.0,11.514,12.5
Clint Capela,ATL,4.0,11.306,12.5
Clint Capela,ATL,13.0,11.351,11.5
Clint Capela,ATL,12.0,11.368,10.5
Clint Capela,ATL,11.0,11.171,11.5
Clint Capela,ATL,11.0,11.167,11.5
Clint Capela,ATL,10.0,11.14,11.5
Clint Capela,ATL,19.0,11.318,11.5
Clint Capela,ATL,13.0,11.356,11.5
Jayson Tatum,BOS,15.0,26.808,28.5
Jayson Tatum,BOS,30.0,26.926,29.5
Jayson Tatum,BOS,25.0,26.857,28.5
Jayson Tatum,BOS,31.0,27.0,27.5
Jayson Tatum,BOS,25.0,26.933,26.5
Jayson Tatum,BOS,30.0,27.032,26.5
Jayson Tatum,BOS,30.0,27.125,26.5
Jayson Tatum,BOS,38.0,27.455,27.5
Jayson Tatum,BOS,45.0,27.971,25.5
Jayson Tatum,BOS,27.0,27.361,26.5
Jayson Tatum,BOS,19.0,27.135,28.5
Jayson Tatum,BOS,24.0,27.053,27.5
Jayson Tatum,BOS,22.0,26.923,27.5
Jayson Tatum,BOS,26.0,26.976,26.5
Jayson Tatum,BOS,21.0,26.837,29.5
Jayson Tatum,BOS,28.0,26.864,28.5
Jayson Tatum,BOS,30.0,26.933,29.5
Jrue Holiday,BOS,13.0,12.292,12.5
Jrue Holiday,BOS,18.0,13.111,12.5
Jrue Holiday,BOS,7.0,12.933,12.5
Jrue Holiday,BOS,14.0,12.968,12.5
Jrue Holiday,BOS,8.0,12.812,13.5
Jrue Holiday,BOS,11.0,12.778,12.5
Jrue Holiday,BOS,7.0,13.103,13.5
Jrue Holiday,BOS,17.0,13.293,11.5
Jrue Holiday,BOS,7.0,13.143,13.5
Jrue Holiday,BOS,17.0,13.386,13.5
Jaylen Brown,BOS,28.0,22.52,23.5
Jaylen Brown,BOS,24.0,22.778,26.5
Jaylen Brown,BOS,19.0,22.643,23.5
Jaylen Brown,BOS,24.0,22.967,23.5
Jaylen Brown,BOS,15.0,22.71,22.5
Jaylen Brown,BOS,13.0,22.406,23.5
Jaylen Brown,BOS,31.0,22.667,21.5
Jaylen Brown,BOS,35.0,23.514,23.5
Jaylen Brown,BOS,32.0,23.378,23.5
Jaylen Brown,BOS,21.0,23.316,26.5
Jaylen Brown,BOS,13.0,23.051,24.5
Jaylen Brown,BOS,18.0,22.952,22.5
Jaylen Brown,BOS,8.0,22.605,23.5
Jaylen Brown,BOS,22.0,22.591,23.5
Jaylen Brown,BOS,25.0,22.644,22.5
Derrick White,BOS,30.0,15.957,15.5
Derrick White,BOS,18.0,16.577,16.5
Derrick White,BOS,19.0,17.033,16.5
Derrick White,BOS,10.0,16.806,16.5
Derrick White,BOS,7.0,16.5,16.5
Derrick White,BOS,13.0,15.694,12.5
Derrick White,BOS,24.0,16.079,12.5
Derrick White,BOS,15.0,15.927,14.5
Derrick White,BOS,2.0,15.595,15.5
Derrick White,BOS,24.0,15.818,15.5
Al Horford,BOS,0.0,8.667,9.5
Mikal Bridges,BRK,15.0,21.667,21.5
Mikal Bridges,BRK,14.0,21.393,19.5
Mikal Bridges,BRK,29.0,21.655,21.5
Mikal Bridges,BRK,21.0,21.633,22.5
Mikal Bridges,BRK,6.0,21.129,22.5
Mikal Bridges,BRK,19.0,21.062,22.5
Mikal Bridges,BRK,22.0,21.091,22.5
Mikal Bridges,BRK,13.0,20.853,22.5
Mikal Bridges,BRK,17.0,20.583,20.5
Mikal Bridges,BRK,42.0,21.162,20.5
Mikal Bridges,BRK,26.0,21.289,22.5
Mikal Bridges,BRK,26.0,21.41,22.5
Mikal Bridges,BRK,21.0,21.4,24.5
Mikal Bridges,BRK,17.0,21.293,24.5
Mikal Bridges,BRK,26.0,21.405,22.5
Mikal Bridges,BRK,36.0,21.744,21.5
Mikal Bridges,BRK,21.0,21.727,22.5
Mikal Bridges,BRK,19.0,21.667,23.5
Mikal Bridges,BRK,33.0,21.913,22.5
Spencer Dinwiddie,BRK,10.0,14.769,16.5
Spencer Dinwiddie,BRK,6.0,14.444,14.5
Spencer Dinwiddie,BRK,14.0,14.429,14.5
Spencer Dinwiddie,BRK,9.0,14.241,14.5
Spencer Dinwiddie,BRK,17.0,14.333,14.5
Spencer Dinwiddie,BRK,13.0,14.29,14.5
Spencer Dinwiddie,BRK,0.0,13.844,14.5
Spencer Dinwiddie,BRK,23.0,14.029,13.5
Spencer Dinwiddie,BRK,5.0,13.771,14.5
Spencer Dinwiddie,BRK,2.0,13.444,13.5
Spencer Dinwiddie,BRK,16.0,13.525,12.5
Spencer Dinwiddie,BRK,0.0,13.195,13.5
Spencer Dinwiddie,BRK,10.0,13.14,11.5
Spencer Dinwiddie,BRK,2.0,12.886,12.5
Dorian Finney-Smith,BRK,9.0,10.0,8.5
Dorian Finney-Smith,BRK,0.0,9.583,8.5
Dorian Finney-Smith,BRK,0.0,8.75,8.5
Dorian Finney-Smith,BRK,5.0,8.621,7.5
Dorian Finney-Smith,BRK,19.0,8.935,9.5
Cameron Johnson,BRK,20.0,14.25,13.5
Cameron Johnson,BRK,17.0,14.381,13.5
Cameron Johnson,BRK,18.0,14.545,14.5
Cameron Johnson,BRK,24.0,14.957,14.5
Cameron Johnson,BRK,16.0,15.0,15.5
Cameron Johnson,BRK,13.0,14.92,15.5
Cameron Johnson,BRK,17.0,15.0,14.5
Cameron Johnson,BRK,9.0,14.786,15.5
Cameron Johnson,BRK,17.0,14.862,15.5
Cameron Johnson,BRK,3.0,14.467,15.5
Cameron Johnson,BRK,6.0,14.194,14.5
Cameron Johnson,BRK,10.0,14.03,13.5
Cameron Johnson,BRK,9.0,13.882,13.5
Cameron Johnson,BRK,19.0,14.029,12.5
Cameron Johnson,BRK,17.0,13.865,12.5
DeMar DeRozan,CHI,27.0,22.37,22.5
DeMar DeRozan,CHI,21.0,22.321,22.5
DeMar DeRozan,CHI,21.0,22.276,23.5
DeMar DeRozan,CHI,25.0,22.367,25.5
DeMar DeRozan,CHI,21.0,22.323,26.5
DeMar DeRozan,CHI,24.0,22.375,24.5
DeMar DeRozan,CHI,16.0,22.182,23.5
DeMar DeRozan,CHI,18.0,22.083,20.5
DeMar DeRozan,CHI,19.0,22.0,19.5
DeMar DeRozan,CHI,39.0,22.447,20.5
DeMar DeRozan,CHI,6.0,21.975,20.5
DeMar DeRozan,CHI,24.0,22.024,20.5
DeMar DeRozan,CHI,18.0,21.929,24.5
DeMar DeRozan,CHI,21.0,21.907,22.5
DeMar DeRozan,CHI,32.0,22.136,22.5
DeMar DeRozan,CHI,20.0,22.089,25.5
DeMar DeRozan,CHI,25.0,22.152,23.5
Coby White,CHI,17.0,17.483,22.5
Coby White,CHI,22.0,17.633,22.5
Coby White,CHI,17.0,17.613,21.5
Coby White,CHI,16.0,17.606,24.5
Coby White,CHI,20.0,17.676,21.5
Coby White,CHI,14.0,17.571,22.5
Coby White,CHI,27.0,18.158,18.5
Coby White,CHI,30.0,18.462,19.5
Coby White,CHI,25.0,18.625,20.5
Coby White,CHI,18.0,18.524,18.5
Coby White,CHI,23.0,18.628,19.5
Coby White,CHI,17.0,18.591,22.5
Coby White,CHI,26.0,18.756,20.5
Coby White,CHI,25.0,18.891,21.5
Coby White,CHI,15.0,18.809,22.5
Coby White,CHI,13.0,18.688,24.5
Zach LaVine,CHI,25.0,21.4,20.5
Zach LaVine,CHI,10.0,20.857,20.5
Zach LaVine,CHI,17.0,20.682,19.5
Zach LaVine,CHI,8.0,20.13,19.5
Patrick Williams,CHI,15.0,11.105,12.5
Patrick Williams,CHI,13.0,11.524,12.5
Patrick Williams,CHI,22.0,11.739,14.5
Patrick Williams,CHI,3.0,11.44,13.5
Patrick Williams,CHI,6.0,11.1,10.5
Alex Caruso,CHI,10.0,10.385,8.5
Alex Caruso,CHI,15.0,10.733,12.5
Alex Caruso,CHI,8.0,10.765,11.5
Alex Caruso,CHI,10.0,10.435,8.5
Alex Caruso,CHI,10.0,10.417,9.5
Alex Caruso,CHI,8.0,10.32,11.5
Alex Caruso,CHI,17.0,10.741,10.5
Alex Caruso,CHI,9.0,10.679,10.5
Alex Caruso,CHI,11.0,10.69,12.5
Miles Bridges,CHO,19.0,19.846,21.5
Miles Bridges,CHO,22.0,20.0,18.5
Miles Bridges,CHO,20.0,20.062,21.5
Miles Bridges,CHO,26.0,19.889,20.5
Miles Bridges,CHO,28.0,20.65,20.5
Miles Bridges,CHO,24.0,20.81,23.5
Miles Bridges,CHO,24.0,20.955,24.5
Miles Bridges,CHO,20.0,20.625,22.5
Miles Bridges,CHO,19.0,20.56,19.5
Miles Bridges,CHO,23.0,20.654,22.5
Miles Bridges,CHO,25.0,20.815,18.5
Miles Bridges,CHO,28.0,21.071,19.5
Miles Bridges,CHO,20.0,21.034,24.5
Miles Bridges,CHO,21.0,21.033,23.5
Miles Bridges,CHO,21.0,21.032,23.5
Terry Rozier,CHO,25.0,23.176,22.5
Terry Rozier,CHO,25.0,23.176,22.5
Terry Rozier,CHO,25.0,21.709,22.5
Terry Rozier,CHO,25.0,21.709,22.5
Terry Rozier,CHO,18.0,22.889,23.5
Terry Rozier,CHO,18.0,22.889,23.5
Terry Rozier,CHO,18.0,21.643,23.5
Terry Rozier,CHO,18.0,21.643,23.5
Terry Rozier,CHO,18.0,22.632,24.5
Terry Rozier,CHO,18.0,22.632,24.5
Terry Rozier,CHO,18.0,21.579,24.5
Terry Rozier,CHO,18.0,21.579,24.5
Terry Rozier,CHO,15.0,23.682,23.5
Terry Rozier,CHO,15.0,23.682,23.5
Terry Rozier,CHO,15.0,22.017,23.5
Terry Rozier,CHO,15.0,22.017,23.5
Terry Rozier,CHO,39.0,24.348,24.5
Terry Rozier,CHO,39.0,24.348,24.5
Terry Rozier,CHO,39.0,22.295,24.5
Terry Rozier,CHO,39.0,22.295,24.5
Terry Rozier,CHO,22.0,24.25,26.5
Terry Rozier,CHO,22.0,24.25,26.5
Terry Rozier,CHO,22.0,22.29,26.5
Terry Rozier,CHO,22.0,22.29,26.5
Terry Rozier,CHO,26.0,24.0,27.5
Terry Rozier,CHO,26.0,24.0,27.5
Terry Rozier,CHO,26.0,22.25,27.5
Terry Rozier,CHO,26.0,22.25,27.5
Terry Rozier,CHO,25.0,24.037,20.5
Terry Rozier,CHO,25.0,24.037,20.5
Terry Rozier,CHO,25.0,22.292,20.5
Terry Rozier,CHO,25.0,22.292,20.5
Terry Rozier,CHO,17.0,23.786,24.5
Terry Rozier,CHO,17.0,23.786,24.5
Terry Rozier,CHO,17.0,22.212,24.5
