Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2024-01-07,Anfernee Simons,3.5,1.62,2.24,21.5,1.77,2.0,3.5,1.77,2.0
2024-01-07,Cameron Johnson,2.5,2.05,1.74,15.5,1.87,1.87,4.5,1.67,2.2
2024-01-07,Jerami Grant,2.5,2.1,1.71,18.5,1.91,1.83,3.5,1.6,2.3
2024-01-07,Mikal Bridges,3.5,2.05,1.74,20.5,1.8,1.95,5.5,2.24,1.62
2024-01-07,Spencer Dinwiddie,6.5,1.91,1.83,14.5,1.91,1.83,3.5,1.91,1.83
2024-01-07,Dorian Finney-Smith,,,,8.5,2.0,1.77,3.5,1.67,2.2
2024-01-07,Nicolas Claxton,,,,13.5,1.77,2.0,10.5,1.62,2.24
2024-01-26,Andrew Nembhard,6.5,2.05,1.74,11.5,1.91,1.83,,,
2024-01-26,Bradley Beal,4.5,1.62,2.24,19.5,1.91,1.83,4.5,1.91,1.83
2024-01-26,Buddy Hield,2.5,1.77,2.0,12.5,1.77,2.0,3.5,1.95,1.8
2024-01-26,Devin Booker,6.5,1.77,2.0,28.5,1.8,1.95,4.5,1.87,1.87
2024-01-26,Grayson Allen,2.5,1.62,2.24,12.5,1.95,1.8,3.5,1.62,2.24
2024-01-26,Jusuf Nurkic,3.5,1.91,1.83,10.5,2.05,1.74,10.5,1.77,2.0
2024-01-26,Kevin Durant,4.5,1.8,1.95,28.5,1.71,2.1,6.5,1.95,1.8
2024-01-26,Pascal Siakam,4.5,1.77,2.0,20.5,1.83,1.91,6.5,1.91,1.83
2024-01-26,Aaron Nesmith,,,,11.5,2.0,1.77,3.5,2.1,1.71
2024-01-26,Myles Turner,,,,16.5,1.95,1.8,5.5,1.77,2.0
2024-01-04,Aaron Gordon,2.5,1.62,2.24,14.5,1.91,1.83,6.5,2.14,1.69
2024-01-04,Chris Paul,7.5,1.8,1.95,10.5,2.0,1.77,3.5,2.0,1.77
2024-01-04,Jamal Murray,6.5,2.0,1.77,21.5,1.8,1.95,3.5,1.74,2.05
2024-01-04,Kentavious Caldwell-Pope,2.5,2.2,1.67,9.5,1.95,1.8,2.5,2.1,1.71
2024-01-04,Nikola Jokic,9.5,1.95,1.8,25.5,1.71,2.1,12.5,1.67,2.2
