Player,Tm,PTS,Points_Running_Avg,player_points_line,Date
Trae Young,ATL,30.0,28.2,30.5,2023-12-20
Trae Young,ATL,30.0,28.269,27.5,2023-12-22
Trae Young,ATL,30.0,28.333,30.5,2023-12-23
Trae Young,ATL,21.0,28.071,28.5,2023-12-26
Trae Young,ATL,24.0,27.931,28.5,2023-12-29
Trae Young,ATL,40.0,28.333,28.5,2023-12-31
Trae Young,ATL,24.0,28.194,27.5,2024-01-03
Trae Young,ATL,13.0,27.719,28.5,2024-01-05
Trae Young,ATL,31.0,27.818,25.5,2024-01-07
Trae Young,ATL,28.0,27.824,27.5,2024-01-10
Trae Young,ATL,13.0,27.4,28.5,2024-01-12
Trae Young,ATL,21.0,27.222,29.5,2024-01-13
Trae Young,ATL,36.0,27.459,29.5,2024-01-15
Trae Young,ATL,18.0,27.211,27.5,2024-01-17
Trae Young,ATL,30.0,26.975,25.5,2024-01-26
Trae Young,ATL,30.0,27.049,25.5,2024-01-28
Dejounte Murray,ATL,21.0,20.0,18.5,2023-12-20
Dejounte Murray,ATL,24.0,20.143,18.5,2023-12-22
Dejounte Murray,ATL,26.0,20.345,19.5,2023-12-23
Dejounte Murray,ATL,18.0,20.161,20.5,2023-12-29
Dejounte Murray,ATL,32.0,20.531,21.5,2023-12-31
Dejounte Murray,ATL,22.0,20.576,19.5,2024-01-03
Dejounte Murray,ATL,30.0,20.853,21.5,2024-01-05
Dejounte Murray,ATL,24.0,20.943,20.5,2024-01-07
Dejounte Murray,ATL,25.0,21.056,22.5,2024-01-10
Dejounte Murray,ATL,29.0,21.27,23.5,2024-01-12
Dejounte Murray,ATL,13.0,21.053,23.5,2024-01-13
Dejounte Murray,ATL,13.0,20.846,23.5,2024-01-15
Dejounte Murray,ATL,26.0,20.975,20.5,2024-01-17
Dejounte Murray,ATL,35.0,21.395,24.5,2024-01-22
Dejounte Murray,ATL,23.0,21.432,26.5,2024-01-24
Dejounte Murray,ATL,24.0,21.5,21.5,2024-01-30
Jalen Johnson,ATL,16.0,14.143,11.5,2023-12-29
Jalen Johnson,ATL,24.0,14.8,16.5,2023-12-31
Jalen Johnson,ATL,28.0,15.625,15.5,2024-01-03
Jalen Johnson,ATL,12.0,15.412,17.5,2024-01-05
Jalen Johnson,ATL,12.0,15.222,16.5,2024-01-07
Jalen Johnson,ATL,25.0,15.737,15.5,2024-01-10
Jalen Johnson,ATL,16.0,15.75,16.5,2024-01-12
Jalen Johnson,ATL,5.0,15.238,16.5,2024-01-13
Jalen Johnson,ATL,16.0,15.273,14.5,2024-01-15
Jalen Johnson,ATL,10.0,15.043,14.5,2024-01-17
Jalen Johnson,ATL,11.0,15.077,17.5,2024-01-22
Jalen Johnson,ATL,21.0,15.296,17.5,2024-01-24
Jalen Johnson,ATL,17.0,15.69,16.5,2024-01-28
Saddiq Bey,ATL,9.0,13.0,14.5,2023-12-20
Saddiq Bey,ATL,16.0,13.188,12.5,2023-12-22
Saddiq Bey,ATL,14.0,13.235,13.5,2023-12-23
Saddiq Bey,ATL,15.0,13.316,13.5,2023-12-29
Saddiq Bey,ATL,11.0,13.2,15.5,2023-12-31
Saddiq Bey,ATL,10.0,13.048,13.5,2024-01-03
Saddiq Bey,ATL,9.0,12.864,13.5,2024-01-05
Saddiq Bey,ATL,16.0,13.0,12.5,2024-01-07
Saddiq Bey,ATL,15.0,13.083,13.5,2024-01-10
Saddiq Bey,ATL,17.0,13.24,13.5,2024-01-12
Saddiq Bey,ATL,16.0,13.346,13.5,2024-01-13
Saddiq Bey,ATL,10.0,13.222,15.5,2024-01-15
Saddiq Bey,ATL,7.0,13.0,12.5,2024-01-17
Saddiq Bey,ATL,13.0,12.613,14.5,2024-01-22
Saddiq Bey,ATL,18.0,12.781,13.5,2024-01-24
Saddiq Bey,ATL,26.0,13.265,13.5,2024-01-28
De'Andre Hunter,ATL,11.0,14.917,14.5,2023-12-20
Clint Capela,ATL,15.0,11.808,13.5,2023-12-20
Clint Capela,ATL,8.0,11.667,12.5,2023-12-22
Clint Capela,ATL,20.0,11.964,10.5,2023-12-23
Clint Capela,ATL,13.0,12.0,13.5,2023-12-26
Clint Capela,ATL,12.0,12.0,12.5,2023-12-29
Clint Capela,ATL,11.0,11.968,14.5,2023-12-31
Clint Capela,ATL,12.0,11.969,12.5,2024-01-03
Clint Capela,ATL,9.0,11.879,12.5,2024-01-05
Clint Capela,ATL,4.0,11.647,11.5,2024-01-07
Clint Capela,ATL,7.0,11.514,12.5,2024-01-12
Clint Capela,ATL,4.0,11.306,12.5,2024-01-13
Clint Capela,ATL,13.0,11.351,11.5,2024-01-15
Clint Capela,ATL,12.0,11.368,10.5,2024-01-17
Clint Capela,ATL,11.0,11.171,11.5,2024-01-22
Clint Capela,ATL,11.0,11.167,11.5,2024-01-24
Clint Capela,ATL,10.0,11.14,11.5,2024-01-26
