Player,Tm,PTS,Points_Running_Avg,player_points_line,Date,Place,Opp,TRB,AST,Rebounds_Running_Avg,Assists_Running_Avg,player_assists_line,player_rebounds_line
Trae Young,ATL,30,28.2,30.5,2023-12-20,Away,HOU,4.0,14.0,3.0,11.08,9.5,3.5
Trae Young,ATL,30,28.269,27.5,2023-12-22,Away,MIA,3.0,13.0,3.0,11.154,10.5,2.5
Trae Young,ATL,30,28.333,30.5,2023-12-23,,MEM,5.0,13.0,3.074,11.222,10.5,3.5
Trae Young,ATL,21,28.071,28.5,2023-12-26,Away,CHI,2.0,13.0,3.036,11.286,10.5,3.5
Trae Young,ATL,24,27.931,28.5,2023-12-29,,SAC,3.0,9.0,3.034,11.207,11.5,3.5
Trae Young,ATL,40,28.333,28.5,2023-12-31,Away,WAS,3.0,13.0,3.033,11.267,12.5,3.5
Trae Young,ATL,24,28.194,27.5,2024-01-03,,OKC,4.0,11.0,3.065,11.258,11.5,3.5
Trae Young,ATL,13,27.719,28.5,2024-01-05,Away,IND,2.0,6.0,3.031,11.094,11.5,3.5
Trae Young,ATL,31,27.818,25.5,2024-01-07,Away,ORL,4.0,9.0,3.061,11.03,10.5,2.5
Trae Young,ATL,28,27.824,27.5,2024-01-10,,PHI,1.0,11.0,3.0,11.029,10.5,3.5
Trae Young,ATL,13,27.4,28.5,2024-01-12,,IND,3.0,6.0,3.0,10.886,11.5,2.5
Trae Young,ATL,21,27.222,29.5,2024-01-13,,WAS,2.0,10.0,2.972,10.861,10.5,3.5
Trae Young,ATL,36,27.459,29.5,2024-01-15,,SAS,6.0,13.0,3.054,10.919,10.5,3.5
Trae Young,ATL,18,27.211,27.5,2024-01-17,,ORL,3.0,12.0,3.053,10.947,10.5,2.5
Trae Young,ATL,30,26.975,25.5,2024-01-26,,DAL,1.0,11.0,2.95,10.8,10.5,3.5
Trae Young,ATL,30,27.049,25.5,2024-01-28,,TOR,2.0,12.0,2.927,10.829,10.5,2.5
Dejounte Murray,ATL,21,20.0,18.5,2023-12-20,Away,HOU,3.0,5.0,4.333,5.407,4.5,4.5
Dejounte Murray,ATL,24,20.143,18.5,2023-12-22,Away,MIA,8.0,6.0,4.464,5.429,4.5,4.5
Dejounte Murray,ATL,26,20.345,19.5,2023-12-23,,MEM,4.0,4.0,4.448,5.379,5.5,4.5
Dejounte Murray,ATL,18,20.161,20.5,2023-12-29,,SAC,6.0,3.0,4.548,5.258,4.5,4.5
Dejounte Murray,ATL,32,20.531,21.5,2023-12-31,Away,WAS,6.0,3.0,4.594,5.188,5.5,5.5
Dejounte Murray,ATL,22,20.576,19.5,2024-01-03,,OKC,6.0,6.0,4.636,5.212,4.5,4.5
Dejounte Murray,ATL,30,20.853,21.5,2024-01-05,Away,IND,1.0,2.0,4.529,5.118,4.5,4.5
Dejounte Murray,ATL,24,20.943,20.5,2024-01-07,Away,ORL,6.0,2.0,4.571,5.029,4.5,4.5
Dejounte Murray,ATL,25,21.056,22.5,2024-01-10,,PHI,5.0,5.0,4.583,5.028,4.5,4.5
Dejounte Murray,ATL,29,21.27,23.5,2024-01-12,,IND,4.0,4.0,4.568,5.0,4.5,4.5
Dejounte Murray,ATL,13,21.053,23.5,2024-01-13,,WAS,5.0,3.0,4.579,4.947,4.5,4.5
Dejounte Murray,ATL,13,20.846,23.5,2024-01-15,,SAS,13.0,0.0,4.795,4.821,4.5,4.5
Dejounte Murray,ATL,26,20.975,20.5,2024-01-17,,ORL,5.0,5.0,4.8,4.825,3.5,4.5
Dejounte Murray,ATL,35,21.395,24.5,2024-01-22,Away,SAC,10.0,6.0,4.977,5.0,7.5,5.5
Dejounte Murray,ATL,23,21.432,26.5,2024-01-24,Away,GSW,7.0,7.0,5.023,5.045,7.5,5.5
Dejounte Murray,ATL,24,21.5,21.5,2024-01-30,,LAL,4.0,9.0,5.0,5.174,5.5,5.5
Jalen Johnson,ATL,16,14.143,11.5,2023-12-29,,SAC,15.0,4.0,7.571,2.714,2.5,7.5
Jalen Johnson,ATL,24,14.8,16.5,2023-12-31,Away,WAS,13.0,4.0,7.933,2.8,2.5,9.5
Jalen Johnson,ATL,28,15.625,15.5,2024-01-03,,OKC,7.0,3.0,7.875,2.812,2.5,9.5
Jalen Johnson,ATL,12,15.412,17.5,2024-01-05,Away,IND,8.0,3.0,7.882,2.824,2.5,8.5
Jalen Johnson,ATL,12,15.222,16.5,2024-01-07,Away,ORL,11.0,4.0,8.056,2.889,2.5,8.5
Jalen Johnson,ATL,25,15.737,15.5,2024-01-10,,PHI,16.0,7.0,8.474,3.105,3.5,8.5
Jalen Johnson,ATL,16,15.75,16.5,2024-01-12,,IND,4.0,3.0,8.25,3.1,3.5,8.5
Jalen Johnson,ATL,5,15.238,16.5,2024-01-13,,WAS,6.0,3.0,8.143,3.095,3.5,9.5
Jalen Johnson,ATL,16,15.273,14.5,2024-01-15,,SAS,10.0,7.0,8.227,3.273,3.5,8.5
Jalen Johnson,ATL,10,15.043,14.5,2024-01-17,,ORL,9.0,3.0,8.261,3.261,3.5,8.5
Jalen Johnson,ATL,11,15.077,17.5,2024-01-22,Away,SAC,7.0,0.0,8.115,3.115,3.5,8.5
Jalen Johnson,ATL,21,15.296,17.5,2024-01-24,Away,GSW,9.0,6.0,8.148,3.222,3.5,7.5
Jalen Johnson,ATL,17,15.69,16.5,2024-01-28,,TOR,12.0,5.0,8.103,3.276,2.5,8.5
Saddiq Bey,ATL,9,13.0,14.5,2023-12-20,Away,HOU,9.0,0.0,6.4,1.133,,6.5
Saddiq Bey,ATL,16,13.188,12.5,2023-12-22,Away,MIA,10.0,2.0,6.625,1.188,,5.5
Saddiq Bey,ATL,14,13.235,13.5,2023-12-23,,MEM,6.0,2.0,6.588,1.235,,6.5
Saddiq Bey,ATL,15,13.316,13.5,2023-12-29,,SAC,7.0,4.0,6.684,1.316,,6.5
Saddiq Bey,ATL,11,13.2,15.5,2023-12-31,Away,WAS,11.0,0.0,6.9,1.25,,7.5
Saddiq Bey,ATL,10,13.048,13.5,2024-01-03,,OKC,8.0,2.0,6.952,1.286,,6.5
Saddiq Bey,ATL,9,12.864,13.5,2024-01-05,Away,IND,4.0,2.0,6.818,1.318,,6.5
Saddiq Bey,ATL,16,13.0,12.5,2024-01-07,Away,ORL,7.0,2.0,6.826,1.348,,6.5
Saddiq Bey,ATL,15,13.083,13.5,2024-01-10,,PHI,10.0,1.0,6.958,1.333,,6.5
Saddiq Bey,ATL,17,13.24,13.5,2024-01-12,,IND,4.0,2.0,6.84,1.36,,6.5
Saddiq Bey,ATL,16,13.346,13.5,2024-01-13,,WAS,7.0,0.0,6.846,1.308,,6.5
Saddiq Bey,ATL,10,13.222,15.5,2024-01-15,,SAS,5.0,2.0,6.778,1.333,,7.5
Saddiq Bey,ATL,7,13.0,12.5,2024-01-17,,ORL,4.0,0.0,6.679,1.286,,5.5
Saddiq Bey,ATL,13,12.613,14.5,2024-01-22,Away,SAC,7.0,2.0,6.548,1.29,,5.5
Saddiq Bey,ATL,18,12.781,13.5,2024-01-24,Away,GSW,7.0,3.0,6.562,1.344,,5.5
Saddiq Bey,ATL,26,13.265,13.5,2024-01-28,,TOR,13.0,3.0,6.765,1.5,,6.5
De'Andre Hunter,ATL,11,14.917,14.5,2023-12-20,Away,HOU,1.0,3.0,4.083,1.375,,4.5
Clint Capela,ATL,15,11.808,13.5,2023-12-20,Away,HOU,9.0,2.0,10.654,1.154,,11.5
Clint Capela,ATL,8,11.667,12.5,2023-12-22,Away,MIA,10.0,0.0,10.63,1.111,,9.5
Clint Capela,ATL,20,11.964,10.5,2023-12-23,,MEM,12.0,1.0,10.679,1.107,,10.5
Clint Capela,ATL,13,12.0,13.5,2023-12-26,Away,CHI,5.0,1.0,10.483,1.103,,10.5
Clint Capela,ATL,12,12.0,12.5,2023-12-29,,SAC,12.0,3.0,10.533,1.167,,10.5
Clint Capela,ATL,11,11.968,14.5,2023-12-31,Away,WAS,17.0,3.0,10.742,1.226,,12.5
Clint Capela,ATL,12,11.969,12.5,2024-01-03,,OKC,14.0,0.0,10.844,1.188,,10.5
Clint Capela,ATL,9,11.879,12.5,2024-01-05,Away,IND,7.0,0.0,10.727,1.152,,10.5
Clint Capela,ATL,4,11.647,11.5,2024-01-07,Away,ORL,12.0,0.0,10.765,1.118,,10.5
Clint Capela,ATL,7,11.514,12.5,2024-01-12,,IND,5.0,1.0,10.6,1.114,,10.5
Clint Capela,ATL,4,11.306,12.5,2024-01-13,,WAS,8.0,0.0,10.528,1.083,,10.5
Clint Capela,ATL,13,11.351,11.5,2024-01-15,,SAS,12.0,0.0,10.568,1.054,,10.5
Clint Capela,ATL,12,11.368,10.5,2024-01-17,,ORL,3.0,0.0,10.368,1.026,,8.5
Clint Capela,ATL,11,11.171,11.5,2024-01-22,Away,SAC,12.0,1.0,10.39,0.976,,8.5
