Position_Filter,Opp,Points_Diff,Points_Diff,Rebounds_Diff,Rebounds_Diff,Assists_Diff,Assists_Diff,Steals_Diff,Steals_Diff,Blocks_Diff,Blocks_Diff
,,mean,std,mean,std,mean,std,mean,std,mean,std
C,ATL,,,,,,,,,,
C,BOS,,,,,,,,,,
C,BRK,,,,,,,,,,
C,CHI,,,,,,,,,,
C,CHO,,,,,,,,,,
C,CLE,,,,,,,,,,
C,DAL,,,,,,,,,,
C,DEN,,,,,,,,,,
C,DET,,,,,,,,,,
C,GSW,,,,,,,,,,
C,HOU,,,,,,,,,,
C,IND,,,,,,,,,,
C,LAC,,,,,,,,,,
C,LAL,,,,,,,,,,
C,MEM,,,,,,,,,,
C,MIA,,,,,,,,,,
C,MIL,,,,,,,,,,
C,MIN,,,,,,,,,,
C,NOP,,,,,,,,,,
C,NYK,,,,,,,,,,
C,OKC,,,,,,,,,,
C,ORL,,,,,,,,,,
C,PHI,,,,,,,,,,
C,PHO,,,,,,,,,,
C,POR,,,,,,,,,,
C,SAC,,,,,,,,,,
C,SAS,,,,,,,,,,
C,TOR,,,,,,,,,,
C,UTA,,,,,,,,,,
C,WAS,,,,,,,,,,
F,ATL,,,,,,,,,,
F,BOS,,,,,,,,,,
F,BRK,,,,,,,,,,
F,CHI,,,,,,,,,,
F,CHO,,,,,,,,,,
F,CLE,,,,,,,,,,
F,DAL,,,,,,,,,,
F,DEN,,,,,,,,,,
F,DET,,,,,,,,,,
F,GSW,,,,,,,,,,
F,HOU,,,,,,,,,,
F,IND,,,,,,,,,,
F,LAC,,,,,,,,,,
F,LAL,,,,,,,,,,
F,MEM,,,,,,,,,,
F,MIA,,,,,,,,,,
F,MIL,,,,,,,,,,
F,MIN,,,,,,,,,,
F,NOP,,,,,,,,,,
F,NYK,,,,,,,,,,
F,OKC,,,,,,,,,,
F,ORL,,,,,,,,,,
F,PHI,,,,,,,,,,
F,PHO,,,,,,,,,,
F,POR,,,,,,,,,,
F,SAC,,,,,,,,,,
F,SAS,,,,,,,,,,
F,TOR,,,,,,,,,,
F,UTA,,,,,,,,,,
F,WAS,,,,,,,,,,
G,ATL,,,,,,,,,,
G,BOS,,,,,,,,,,
G,BRK,,,,,,,,,,
G,CHI,,,,,,,,,,
G,CHO,,,,,,,,,,
G,CLE,,,,,,,,,,
G,DAL,,,,,,,,,,
G,DEN,,,,,,,,,,
G,DET,,,,,,,,,,
G,GSW,,,,,,,,,,
G,HOU,,,,,,,,,,
G,IND,,,,,,,,,,
G,LAC,,,,,,,,,,
G,LAL,,,,,,,,,,
G,MEM,,,,,,,,,,
G,MIA,,,,,,,,,,
G,MIL,,,,,,,,,,
G,MIN,,,,,,,,,,
G,NOP,,,,,,,,,,
G,NYK,,,,,,,,,,
G,OKC,,,,,,,,,,
G,ORL,,,,,,,,,,
G,PHI,,,,,,,,,,
G,PHO,,,,,,,,,,
G,POR,,,,,,,,,,
G,SAC,,,,,,,,,,
G,SAS,,,,,,,,,,
G,TOR,,,,,,,,,,
G,UTA,,,,,,,,,,
G,WAS,,,,,,,,,,
