Player,team,Rk,G,Date,Age,Tm,Place,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Trae Young,ATL,1,1.0,2023-10-25,25-036,ATL,Away,CHO,L (-6),1,36:01,4.0,19.0,0.211,1.0,9.0,0.111,14.0,15.0,0.933,0.0,1.0,1.0,9.0,1.0,0.0,5.0,3.0,23.0,12.3,-11.0
Trae Young,ATL,2,2.0,2023-10-27,25-038,ATL,,NYK,L (-6),1,35:18,4.0,16.0,0.25,2.0,5.0,0.4,8.0,10.0,0.8,1.0,2.0,3.0,12.0,3.0,0.0,6.0,2.0,18.0,13.5,-5.0
Trae Young,ATL,3,3.0,2023-10-29,25-040,ATL,Away,MIL,W (+17),1,32:02,5.0,14.0,0.357,3.0,8.0,0.375,7.0,9.0,0.778,0.0,3.0,3.0,11.0,1.0,0.0,3.0,1.0,20.0,17.6,13.0
Trae Young,ATL,4,4.0,2023-10-30,25-041,ATL,,MIN,W (+14),1,35:00,9.0,22.0,0.409,1.0,7.0,0.143,5.0,5.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,24.0,17.7,4.0
Trae Young,ATL,5,5.0,2023-11-01,25-043,ATL,,WAS,W (+9),1,35:16,7.0,18.0,0.389,1.0,3.0,0.333,8.0,9.0,0.889,0.0,3.0,3.0,10.0,2.0,0.0,3.0,1.0,23.0,19.3,4.0
Trae Young,ATL,6,6.0,2023-11-04,25-046,ATL,Away,NOP,W (+18),1,38:44,7.0,15.0,0.467,3.0,7.0,0.429,5.0,6.0,0.833,3.0,2.0,5.0,12.0,1.0,0.0,5.0,3.0,22.0,19.8,18.0
Trae Young,ATL,7,7.0,2023-11-06,25-048,ATL,Away,OKC,L (-9),1,36:25,5.0,18.0,0.278,1.0,5.0,0.2,11.0,11.0,1.0,1.0,3.0,4.0,11.0,1.0,0.0,7.0,1.0,22.0,14.3,-18.0
Trae Young,ATL,8,8.0,2023-11-09,25-051,ATL,Away,ORL,W (+1),1,34:18,12.0,27.0,0.444,5.0,15.0,0.333,12.0,13.0,0.923,2.0,2.0,4.0,8.0,3.0,0.0,3.0,1.0,41.0,33.7,1.0
Trae Young,ATL,9,9.0,2023-11-11,25-053,ATL,,MIA,L (-8),1,38:27,7.0,19.0,0.368,3.0,9.0,0.333,10.0,11.0,0.909,0.0,2.0,2.0,11.0,1.0,0.0,5.0,0.0,27.0,20.4,4.0
Trae Young,ATL,11,10.0,2023-11-15,25-057,ATL,,NYK,L (-2),1,34:28,4.0,12.0,0.333,0.0,4.0,0.0,7.0,9.0,0.778,0.0,1.0,1.0,17.0,2.0,0.0,3.0,0.0,15.0,18.6,1.0
Trae Young,ATL,12,11.0,2023-11-17,25-059,ATL,,PHI,L (-10),1,36:58,5.0,14.0,0.357,2.0,6.0,0.333,10.0,10.0,1.0,0.0,2.0,2.0,13.0,1.0,0.0,4.0,3.0,22.0,19.7,12.0
Trae Young,ATL,13,12.0,2023-11-21,25-063,ATL,,IND,L (-5),1,38:49,13.0,17.0,0.765,5.0,8.0,0.625,7.0,8.0,0.875,0.0,1.0,1.0,8.0,3.0,0.0,3.0,3.0,38.0,35.6,-2.0
Trae Young,ATL,14,13.0,2023-11-22,25-064,ATL,,BRK,W (+2),1,39:58,12.0,31.0,0.387,8.0,16.0,0.5,11.0,13.0,0.846,2.0,2.0,4.0,9.0,2.0,0.0,4.0,0.0,43.0,31.6,-11.0
Trae Young,ATL,15,14.0,2023-11-25,25-067,ATL,Away,WAS,W (+28),1,30:22,9.0,17.0,0.529,5.0,8.0,0.625,3.0,3.0,1.0,0.0,6.0,6.0,10.0,2.0,0.0,2.0,1.0,26.0,26.1,40.0
Trae Young,ATL,16,15.0,2023-11-26,25-068,ATL,Away,BOS,L (-10),1,37:16,12.0,27.0,0.444,6.0,16.0,0.375,3.0,6.0,0.5,1.0,4.0,5.0,7.0,0.0,0.0,5.0,3.0,33.0,18.3,-11.0
Trae Young,ATL,17,16.0,2023-11-28,25-070,ATL,Away,CLE,L (-23),1,32:16,3.0,14.0,0.214,2.0,8.0,0.25,5.0,6.0,0.833,0.0,1.0,1.0,10.0,1.0,0.0,3.0,3.0,13.0,8.1,-27.0
Trae Young,ATL,18,17.0,2023-11-30,25-072,ATL,Away,SAS,W (+2),1,39:57,15.0,29.0,0.517,2.0,9.0,0.222,13.0,16.0,0.813,0.0,4.0,4.0,14.0,2.0,0.0,2.0,1.0,45.0,40.1,-1.0
Trae Young,ATL,19,18.0,2023-12-02,25-074,ATL,Away,MIL,L (-11),1,36:44,13.0,28.0,0.464,5.0,13.0,0.385,1.0,2.0,0.5,2.0,0.0,2.0,12.0,2.0,0.0,4.0,0.0,32.0,25.0,-8.0
Trae Young,ATL,20,19.0,2023-12-06,25-078,ATL,,BRK,L (-1),1,37:14,11.0,24.0,0.458,3.0,9.0,0.333,5.0,5.0,1.0,1.0,0.0,1.0,9.0,0.0,2.0,5.0,2.0,30.0,20.2,3.0
Trae Young,ATL,22,20.0,2023-12-11,25-083,ATL,,DEN,L (-7),1,26:20,5.0,12.0,0.417,2.0,5.0,0.4,7.0,7.0,1.0,0.0,1.0,1.0,9.0,1.0,0.0,5.0,2.0,19.0,14.4,-10.0
