team,player_link,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,/players/y/youngtr01.html,1,Trae Young,25,50,50,36.5,8.3,19.4,.427,3.3,9.0,.371,4.9,10.4,.476,.513,6.8,7.9,.858,0.4,2.3,2.7,10.9,1.4,0.2,4.3,2.1,26.7
ATL,/players/m/murrade01.html,2,Dejounte Murray,27,52,52,35.0,8.2,17.7,.463,2.3,6.3,.364,5.9,11.4,.518,.528,2.8,3.4,.825,0.7,4.4,5.1,5.3,1.3,0.3,2.3,1.8,21.4
ATL,/players/j/johnsja05.html,3,Jalen Johnson,22,41,38,34.0,6.3,12.0,.524,1.2,3.4,.348,5.1,8.6,.594,.573,2.0,2.7,.743,1.3,7.3,8.6,3.3,1.2,0.9,1.8,2.7,15.7
ATL,/players/b/beysa01.html,4,Saddiq Bey,24,54,42,32.5,4.6,10.8,.422,1.8,5.6,.316,2.8,5.2,.537,.504,2.6,3.1,.829,2.6,3.9,6.6,1.5,0.9,0.1,0.8,1.5,13.5
ATL,/players/b/bogdabo01.html,5,Bogdan Bogdanović,31,53,8,28.9,6.0,14.0,.432,3.1,8.4,.372,2.9,5.6,.520,.543,1.7,1.9,.910,0.6,2.7,3.3,2.8,1.2,0.3,1.2,2.4,16.9
ATL,/players/h/huntede01.html,6,De'Andre Hunter,26,31,24,28.4,5.0,10.6,.470,2.0,4.7,.421,3.0,5.9,.508,.563,3.0,3.4,.894,0.6,3.2,3.8,1.3,0.8,0.4,1.5,2.8,14.9
ATL,/players/o/okongon01.html,7,Onyeka Okongwu,23,53,8,25.8,4.0,6.6,.610,0.4,1.2,.338,3.6,5.4,.671,.641,1.7,2.2,.800,2.7,4.3,7.0,1.3,0.4,1.1,0.8,3.0,10.2
ATL,/players/c/capelca01.html,8,Clint Capela,29,47,47,25.7,4.8,8.4,.575,0.0,0.0,,4.8,8.4,.575,.575,1.8,2.8,.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5
BOS,/players/t/tatumja01.html,1,Jayson Tatum,25,52,52,35.8,9.3,19.5,.475,3.1,8.4,.363,6.2,11.0,.561,.554,5.6,6.8,.824,0.9,7.7,8.6,4.8,1.0,0.6,2.5,2.0,27.1
BOS,/players/b/brownja02.html,2,Jaylen Brown,27,50,50,33.4,8.5,17.3,.492,1.9,5.7,.342,6.6,11.6,.566,.549,3.0,4.2,.718,1.1,4.4,5.5,3.7,1.1,0.6,2.5,2.7,22.0
BOS,/players/h/holidjr01.html,3,Jrue Holiday,33,50,50,33.3,5.0,10.5,.473,2.1,4.7,.440,2.9,5.8,.500,.571,1.1,1.3,.833,1.3,4.5,5.9,4.8,0.8,0.7,1.9,1.7,13.1
