Player,team,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Trae Young,ATL,1,1,2023-10-25,25-036,ATL,@,CHO,L (-6),1,36:01,4,19,.211,1,9,.111,14,15,.933,0,1,1,9,1,0,5,3,23,12.3,-11
Trae Young,ATL,2,2,2023-10-27,25-038,ATL,,NYK,L (-6),1,35:18,4,16,.250,2,5,.400,8,10,.800,1,2,3,12,3,0,6,2,18,13.5,-5
Trae Young,ATL,3,3,2023-10-29,25-040,ATL,@,MIL,W (+17),1,32:02,5,14,.357,3,8,.375,7,9,.778,0,3,3,11,1,0,3,1,20,17.6,+13
Trae Young,ATL,4,4,2023-10-30,25-041,ATL,,MIN,W (+14),1,35:00,9,22,.409,1,7,.143,5,5,1.000,0,1,1,8,1,0,1,1,24,17.7,+4
Trae Young,ATL,5,5,2023-11-01,25-043,ATL,,WAS,W (+9),1,35:16,7,18,.389,1,3,.333,8,9,.889,0,3,3,10,2,0,3,1,23,19.3,+4
Trae Young,ATL,6,6,2023-11-04,25-046,ATL,@,NOP,W (+18),1,38:44,7,15,.467,3,7,.429,5,6,.833,3,2,5,12,1,0,5,3,22,19.8,+18
Trae Young,ATL,7,7,2023-11-06,25-048,ATL,@,OKC,L (-9),1,36:25,5,18,.278,1,5,.200,11,11,1.000,1,3,4,11,1,0,7,1,22,14.3,-18
Trae Young,ATL,8,8,2023-11-09,25-051,ATL,@,ORL,W (+1),1,34:18,12,27,.444,5,15,.333,12,13,.923,2,2,4,8,3,0,3,1,41,33.7,+1
Trae Young,ATL,9,9,2023-11-11,25-053,ATL,,MIA,L (-8),1,38:27,7,19,.368,3,9,.333,10,11,.909,0,2,2,11,1,0,5,0,27,20.4,+4
Trae Young,ATL,10,,2023-11-14,25-056,ATL,@,DET,W (+6),Inactive
