Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2023-12-22,Aaron Gordon,2.5,1.6,2.3,13.5,2.0,1.77,6.5,1.87,1.87
2023-12-22,Cameron Johnson,2.5,2.4,1.56,13.5,1.91,1.83,4.5,1.83,1.91
2023-12-22,Cameron Thomas,2.5,1.95,1.8,23.5,1.74,2.05,3.5,1.95,1.8
2023-12-22,Jamal Murray,5.5,1.69,2.14,20.5,1.83,1.91,3.5,1.8,1.95
2023-12-22,Mikal Bridges,3.5,2.2,1.67,19.5,1.74,2.05,4.5,1.74,2.05
2023-12-22,Nikola Jokic,9.5,1.83,1.91,26.5,1.69,2.14,12.5,1.74,2.05
2023-12-22,Spencer Dinwiddie,7.5,2.24,1.62,14.5,1.91,1.83,3.5,1.77,2.0
2023-12-22,Kentavious Caldwell-Pope,,,,8.5,1.91,1.83,2.5,2.05,1.74
2023-12-22,Michael Porter Jr.,,,,14.5,1.83,1.91,7.5,2.0,1.77
2023-12-22,Nicolas Claxton,,,,10.5,1.8,1.95,8.5,1.74,2.05
2023-12-27,Donovan Mitchell,6.5,1.91,1.83,30.5,1.71,2.1,5.5,1.71,2.1
2023-12-27,Luka Doncic,10.5,1.71,2.1,36.5,1.91,1.83,9.5,1.77,2.0
2023-12-21,Desmond Bane,5.5,2.14,1.69,24.5,1.83,1.91,4.5,1.83,1.91
2023-12-21,Ja Morant,9.5,1.91,1.83,28.5,1.83,1.91,6.5,2.14,1.69
2023-12-21,Tyrese Haliburton,11.5,1.71,2.1,24.5,1.8,1.95,3.5,1.74,2.05
2023-12-21,Jaren Jackson Jr.,,,,22.5,1.91,1.83,6.5,1.95,1.8
2023-12-27,Giannis Antetokounmpo,5.5,1.67,2.2,31.5,1.71,2.1,11.5,1.8,1.95
2023-12-27,Mikal Bridges,3.5,1.83,1.91,22.5,1.95,1.8,4.5,1.77,2.0
2023-12-27,Spencer Dinwiddie,6.5,1.69,2.14,14.5,1.87,1.87,3.5,1.77,2.0
2023-12-29,Franz Wagner,4.5,1.71,2.1,23.5,1.83,1.91,5.5,1.95,1.8
2023-12-29,Jalen Brunson,6.5,2.2,1.67,26.5,1.77,2.0,3.5,1.53,2.45
2023-12-29,Jalen Suggs,2.5,1.8,1.95,12.5,1.8,1.95,3.5,1.91,1.83
2023-12-29,Julius Randle,3.5,1.74,2.05,24.5,1.71,2.1,9.5,1.8,1.95
2023-12-29,Paolo Banchero,4.5,1.83,1.91,23.5,1.8,1.95,7.5,2.05,1.74
2023-12-29,RJ Barrett,2.5,2.4,1.56,16.5,1.8,1.95,4.5,2.14,1.69
2023-12-29,Donte DiVincenzo,,,,9.5,2.05,1.74,2.5,1.91,1.83
2023-12-29,Isaiah Hartenstein,,,,7.5,1.83,1.91,9.5,1.91,1.83
2023-12-28,Bam Adebayo,4.5,2.0,1.77,22.5,1.8,1.95,9.5,1.71,2.1
2023-12-28,Stephen Curry,4.5,1.6,2.3,27.5,1.77,2.0,4.5,2.1,1.71
2023-12-28,Tyler Herro,4.5,1.91,1.83,24.5,1.8,1.95,4.5,1.74,2.05
2023-12-28,Jonathan Kuminga,,,,12.5,1.91,1.83,4.5,2.24,1.62
2023-12-28,Klay Thompson,,,,18.5,1.87,1.87,3.5,1.87,1.87
2023-12-23,Dennis Schroder,6.5,1.69,2.14,13.5,1.87,1.87,2.5,2.05,1.74
2023-12-23,Jakob Poeltl,2.5,2.2,1.67,10.5,2.0,1.77,8.5,2.1,1.71
2023-12-23,OG Anunoby,2.5,1.77,2.0,13.5,1.8,1.95,4.5,2.24,1.62
2023-12-23,Pascal Siakam,4.5,1.87,1.87,22.5,1.67,2.2,6.5,2.0,1.77
2023-12-23,Scottie Barnes,5.5,1.74,2.05,21.5,1.95,1.8,8.5,1.74,2.05
2023-12-20,De'Aaron Fox,6.5,2.0,1.77,29.5,1.87,1.87,4.5,2.05,1.74
2023-12-20,Domantas Sabonis,6.5,1.74,2.05,18.5,1.91,1.83,12.5,1.77,2.0
2023-12-30,Luka Doncic,10.5,1.95,1.8,36.5,1.8,1.95,9.5,1.91,1.83
2023-12-30,Stephen Curry,4.5,1.53,2.45,28.5,1.8,1.95,4.5,1.77,2.0
2023-12-30,Klay Thompson,,,,17.5,1.77,2.0,3.5,1.77,2.0
2023-12-22,Alperen Sengun,4.5,1.56,2.4,19.5,1.87,1.87,9.5,1.74,2.05
2023-12-22,Fred VanVleet,9.5,1.83,1.91,20.5,1.91,1.83,4.5,1.83,1.91
2023-12-22,Jalen Green,2.5,1.62,2.24,18.5,1.91,1.83,4.5,1.91,1.83
2023-12-22,Dillon Brooks,,,,13.5,1.8,1.95,3.5,1.87,1.87
2023-12-22,Jabari Smith Jr.,,,,14.5,1.95,1.8,9.5,1.77,2.0
