Player,player_assists_line,player_assists_over,player_assists_under,player_blocks_line,player_blocks_over,player_blocks_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under,player_steals_line,player_steals_over,player_steals_under
Andrew Nembhard,4.5,1.87,1.87,0.5,4.1,1.22,8.5,1.77,2.0,2.5,2.14,1.69,1.5,2.7,1.45
Brandon Miller,2.5,1.95,1.8,0.5,1.87,1.87,21.5,1.83,1.91,4.5,2.0,1.77,0.5,1.5,2.54
Cody Martin,3.5,1.71,2.1,0.5,2.1,1.71,8.5,1.95,1.8,4.5,2.14,1.69,0.5,1.6,2.3
Miles Bridges,3.5,1.69,2.14,0.5,1.95,1.8,25.5,1.8,1.95,7.5,1.95,1.8,0.5,1.47,2.65
Pascal Siakam,3.5,1.87,1.87,0.5,2.95,1.38,20.5,1.8,1.95,6.5,1.87,1.87,0.5,1.5,2.54
Tre Mann,5.5,1.95,1.8,0.5,5.5,1.14,10.5,1.95,1.8,3.5,1.91,1.83,0.5,1.67,2.2
Tyrese Haliburton,11.5,1.95,1.8,0.5,1.83,1.91,19.5,1.8,1.95,3.5,1.8,1.95,1.5,2.6,1.48
Aaron Nesmith,,,,0.5,1.91,1.83,13.5,1.8,1.95,4.5,1.83,1.91,1.5,2.3,1.6
Myles Turner,,,,1.5,2.2,1.67,17.5,1.95,1.8,7.5,1.87,1.87,0.5,1.8,1.95
Nick Richards,,,,1.5,2.45,1.53,11.5,1.87,1.87,8.5,1.8,1.95,0.5,3.6,1.28
